,date,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qbelo_prob1,qbelo_prob2,elo_spread,qb_spread,vegas_spread,result
66,1979-10-07,IND,NYJ,10.0,8.0,1346.11,1472.575,0.4124561506263961,0.5875438493736039,1353.4391331,1469.61949214,0.38934567140500004,0.610654328595,2.458600000000003,3.127361426910342,3.0,-2.0
67,1979-10-07,BUF,CHI,0.0,7.0,1490.7379999999998,1480.412,0.6067356858178841,0.393264314182116,1488.49138352,1479.84745502,0.636434915176,0.363565084824,-3.0130400000000024,-3.890749254837425,-5.0,7.0
68,1979-10-07,CIN,KC,7.0,10.0,1409.398,1483.26,0.4872493218986298,0.5127506781013702,1404.95602717,1492.55408278,0.49274132922200004,0.507258670778,0.3544800000000038,0.20176781775112848,-0.0,3.0
69,1979-10-07,CLE,PIT,35.0,51.0,1538.148,1696.578,0.3686933819595175,0.6313066180404825,1532.46238362,1694.86516193,0.36010949803900005,0.639890501961,3.737200000000001,3.9947374026337896,4.0,16.0
70,1979-10-07,DEN,LAC,7.0,0.0,1553.855,1601.846,0.52445838218589,0.47554161781411,1555.57311299,1596.76691311,0.505806349583,0.494193650417,-0.6803600000000025,-0.16139385254132466,1.0,-7.0
71,1979-10-07,TEN,ARI,17.0,24.0,1604.465,1450.141,0.7794614000422586,0.2205385999577414,1612.91800651,1449.3105445,0.77296420883,0.22703579116999995,-8.772959999999996,-8.513040923924889,-7.0,7.0
72,1979-10-07,MIN,DAL,20.0,36.0,1489.54,1653.457,0.361372508285859,0.638627491714141,1492.16691552,1650.53253652,0.335614812269,0.6643851877310001,3.956680000000006,4.745261141960808,7.0,16.0
73,1979-10-07,NE,DET,24.0,17.0,1560.0439999999999,1408.271,0.7769267180569099,0.22307328194309006,1558.15098596,1431.24710728,0.795265046858,0.204734953142,-8.670920000000006,-9.429118424432884,-13.0,-7.0
74,1979-10-07,NO,LAR,17.0,35.0,1432.455,1557.731,0.4141157918978113,0.5858842081021887,1425.70020327,1556.34119825,0.40172657604,0.59827342396,2.411040000000001,2.7675063702290377,4.0,18.0
75,1979-10-07,NYG,TB,17.0,14.0,1351.219,1517.193,0.3586443137424631,0.6413556862575369,1348.99846775,1515.27379952,0.348572602354,0.651427397646,4.038959999999998,4.345164341484743,6.0,-3.0
76,1979-10-07,SF,SEA,24.0,35.0,1323.1529999999998,1435.72,0.4319701055205746,0.5680298944794254,1327.48677784,1435.15100568,0.44119273422399996,0.5588072657759999,1.9026799999999993,1.6421390823728275,5.0,11.0
77,1979-10-08,OAK,MIA,13.0,3.0,1514.121,1603.1029999999998,0.4655418362329847,0.5344581637670154,1520.64813364,1592.14265548,0.475803378535,0.524196621465,0.9592799999999997,0.6730671362206838,1.0,-10.0
78,1979-10-14,IND,TEN,16.0,28.0,1359.391,1568.4579999999999,0.3037896508646952,0.6962103491353048,1367.35098213,1577.32842462,0.30706138991,0.69293861009,5.76268,5.655512787144475,6.0,12.0
79,1979-10-14,CHI,NE,7.0,27.0,1506.54,1568.489,0.5043906290894535,0.4956093709105465,1507.54043021,1565.84162811,0.49721310724,0.50278689276,-0.12203999999999886,0.07746205960885191,4.0,20.0
80,1979-10-14,CIN,PIT,34.0,10.0,1395.943,1716.619,0.18667079155475547,0.8133292084452446,1391.32558874,1714.38443045,0.18148741172000002,0.8185125882800001,10.227039999999997,10.466861696173615,10.0,-24.0
81,1979-10-14,DAL,LAR,30.0,6.0,1673.0529999999999,1581.467,0.711233313085728,0.288766686914272,1668.5768905,1579.27707706,0.7044957081059999,0.295504291894,-6.263439999999999,-6.037032939601108,-3.0,-24.0
82,1979-10-14,GB,DET,24.0,16.0,1435.7879999999998,1399.826,0.6413397969824832,0.3586602030175168,1433.83559191,1423.55646513,0.6675474574229999,0.332452542577,-4.038480000000001,-4.84403979727788,-4.0,-8.0
83,1979-10-14,KC,DEN,10.0,24.0,1496.715,1573.48,0.4830752724719629,0.5169247275280371,1506.18452122,1576.08842361,0.407262328364,0.592737671636,0.4705999999999994,2.607812640021823,1.0,14.0
84,1979-10-14,MIA,BUF,17.0,7.0,1577.1889999999999,1464.61,0.7354061446926002,0.26459385530739976,1566.80952325,1460.79840833,0.688986648156,0.31101335184400003,-7.103160000000008,-5.526908353089272,-6.0,-10.0
85,1979-10-14,NYG,SF,32.0,16.0,1369.8570000000002,1302.139,0.6822185591554419,0.3177814408445581,1367.99800809,1305.96198965,0.641478351422,0.35852164857799995,-5.3087200000000045,-4.042665914455136,-4.0,-16.0
86,1979-10-14,OAK,ATL,50.0,19.0,1540.035,1491.444,0.6578848091571005,0.34211519084289954,1545.98126587,1483.33037871,0.653649501619,0.346350498381,-4.543640000000005,-4.413265879724604,-10.0,-31.0
87,1979-10-14,LAC,SEA,20.0,10.0,1582.221,1456.734,0.749609614768452,0.250390385231548,1576.25160249,1456.67579386,0.740052570937,0.25994742906299995,-7.619480000000002,-7.270032722823249,-10.0,-10.0
88,1979-10-14,ARI,PHI,20.0,24.0,1486.1470000000002,1579.104,0.4598532540834738,0.5401467459165262,1484.9001264,1578.6545087000002,0.429621260657,0.570378739343,1.118280000000004,1.969241021361406,-3.0,4.0
89,1979-10-14,TB,NO,14.0,42.0,1498.556,1408.719,0.7091611419879529,0.2908388580120471,1496.27425917,1402.76432447,0.702489414849,0.29751058515100004,-6.193479999999999,-5.970197800277563,-8.0,28.0
90,1979-10-15,NYJ,MIN,14.0,7.0,1459.295,1469.944,0.5775855200167188,0.4224144799832812,1455.7076431,1474.12256155,0.561441567674,0.43855843232600006,-2.174040000000006,-1.7164335641115143,-4.0,-7.0
91,1979-10-21,BUF,IND,13.0,14.0,1452.868,1344.764,0.7303633276958563,0.2696366723041437,1446.76428351,1352.5502456,0.704005400726,0.295994599274,-6.924160000000003,-6.020675261307223,-6.0,1.0
92,1979-10-21,CLE,CIN,28.0,27.0,1499.203,1455.1879999999999,0.6519316337013972,0.3480683662986028,1494.62997038,1451.13298432,0.643676971649,0.35632302835100005,-4.3605999999999945,-4.1091852999914265,-3.0,-1.0
93,1979-10-21,DAL,ARI,22.0,13.0,1690.408,1471.531,0.8367342630215946,0.1632657369784054,1686.37942213,1471.37383922,0.852048042499,0.147951957501,-11.355079999999997,-12.165493880000929,-10.0,-9.0
94,1979-10-21,KC,NYG,17.0,21.0,1470.69,1386.839,0.7020032041767559,0.2979967958232441,1484.76163543,1387.42109003,0.702890226539,0.297109773461,-5.954040000000003,-5.983529062842828,-6.0,4.0
95,1979-10-21,LAR,LAC,16.0,40.0,1564.112,1593.2720000000002,0.5513957325329322,0.44860426746706783,1561.47454543,1587.76681856,0.521964934781,0.478035065219,-1.4336000000000069,-0.6109051823198252,1.0,24.0
96,1979-10-21,MIN,CHI,30.0,27.0,1452.8,1475.785,0.5601714194499589,0.4398285805500412,1456.23237586,1477.2915275999999,0.5384856700330001,0.461514329967,-1.6805999999999983,-1.0718233624033557,-2.0,-3.0
97,1979-10-21,NE,MIA,28.0,13.0,1599.244,1588.93,0.6067192032746443,0.3932807967253557,1596.09053072,1580.84364807,0.629454725306,0.37054527469400006,-3.012559999999992,-3.6819715000233795,-5.0,-15.0
98,1979-10-21,NO,DET,17.0,7.0,1460.094,1384.757,0.691650035105447,0.30834996489455296,1453.51736447,1409.70924023,0.740081997204,0.259918002796,-5.613479999999998,-7.271095659310003,-7.0,-10.0
99,1979-10-21,NYJ,OAK,28.0,19.0,1476.4389999999999,1562.5839999999998,0.4696074139681152,0.5303925860318848,1473.59782879,1568.84197151,0.46600587504100005,0.533994124959,0.8458000000000022,0.9463213910960065,3.0,-9.0
100,1979-10-21,SF,ATL,20.0,15.0,1285.156,1468.894,0.33547816336138514,0.6645218366386149,1286.53890772,1460.46967307,0.365581799587,0.634418200413,4.749520000000002,3.8302570774549234,4.0,-5.0
101,1979-10-21,SEA,TEN,34.0,14.0,1445.682,1583.0839999999998,0.3972876641587108,0.6027123358412892,1445.16057779,1592.12916115,0.41853889506999997,0.58146110493,2.896079999999999,2.284557532453632,2.0,-20.0
102,1979-10-21,TB,GB,21.0,3.0,1447.181,1450.858,0.5873457454098011,0.4126542545901989,1445.52121918,1447.68281681,0.545362404478,0.45463759552199995,-2.4529200000000038,-1.2643175939875073,-5.0,-18.0
103,1979-10-22,PIT,DEN,42.0,7.0,1657.374,1599.505,0.6698022538311175,0.3301977461688825,1654.57703486,1597.51130939,0.614812302138,0.385187697862,-4.914759999999998,-3.249122252871301,-7.0,-35.0
104,1979-10-25,OAK,LAC,45.0,22.0,1537.922,1629.358,0.4620287879531957,0.5379712120468043,1543.98331189,1621.60452969,0.439647639451,0.560352360549,1.0574399999999962,1.6857033615296098,1.0,-23.0
105,1979-10-28,IND,NE,31.0,26.0,1355.754,1620.3310000000001,0.24069781573956264,0.7593021842604374,1363.02659038,1615.81273514,0.245381195649,0.754618804351,7.98308,7.806181518480949,4.0,-5.0
106,1979-10-28,CIN,PHI,37.0,13.0,1450.5910000000001,1571.465,0.42027694806513294,0.5797230519348671,1446.4136681,1569.63878554,0.420475156976,0.579524843024,2.234960000000002,2.2293074659445957,-3.0,-24.0
107,1979-10-28,DEN,KC,20.0,3.0,1577.0910000000001,1446.454,0.7551327065377181,0.2448672934622819,1570.88775201,1460.48584824,0.757048759409,0.24295124059100004,-7.825479999999998,-7.897675696704521,-7.0,-17.0
108,1979-10-28,DET,BUF,17.0,20.0,1370.856,1441.879,0.4913330744254872,0.5086669255745128,1398.19545615,1436.28793873,0.458054884053,0.541945115947,0.2409199999999989,1.1686046165909012,3.0,3.0
109,1979-10-28,TEN,NYJ,27.0,24.0,1545.136,1501.101,0.6519577580040049,0.3480422419959951,1555.78007935,1498.45648841,0.618269175018,0.381730824982,-4.361399999999994,-3.3507258171417673,-6.0,-3.0
110,1979-10-28,LAR,NYG,14.0,20.0,1528.027,1411.075,0.7402752974906849,0.2597247025093151,1527.6368343000001,1411.69687722,0.720735913546,0.27926408645399997,-7.278079999999999,-6.588177189142557,-6.0,6.0
111,1979-10-28,MIA,GB,27.0,7.0,1567.844,1427.2160000000001,0.7656106122385254,0.2343893877614745,1561.12144365,1421.28897052,0.7331489606020001,0.26685103939800003,-8.225120000000008,-7.022773191365207,-11.0,-20.0
112,1979-10-28,MIN,TB,10.0,12.0,1464.766,1470.8229999999999,0.5840212477926701,0.4159787522073301,1468.87429395,1471.91506546,0.5846904660719999,0.415309533928,-2.3577200000000023,-2.376865781447321,-0.0,2.0
113,1979-10-28,PIT,DAL,14.0,3.0,1679.787,1697.067,0.568245990099502,0.431754009900498,1681.20059224,1692.3653425,0.559340912337,0.440659087663,-1.9087999999999994,-1.6571816879226775,-3.0,-11.0
114,1979-10-28,SF,CHI,27.0,28.0,1310.328,1463.819,0.3753353286777059,0.6246646713222941,1310.30796784,1464.64960951,0.41095169471,0.58904830529,3.5396400000000003,2.5017621614344865,3.0,1.0
115,1979-10-28,ARI,CLE,20.0,38.0,1464.871,1503.8,0.5374489227515125,0.4625510772484875,1465.38791885,1499.34928661,0.513963283594,0.48603671640600005,-1.0428400000000055,-0.38820827022530224,-3.0,18.0
116,1979-10-29,ATL,SEA,28.0,31.0,1443.723,1483.631,0.5360476399270397,0.4639523600729602,1436.70061295,1481.50965959,0.5135827551659999,0.486417244834,-1.0036799999999941,-0.37762350878735185,2.0,3.0
117,1979-11-04,ATL,TB,17.0,14.0,1428.6889999999999,1484.0079999999998,0.5139284743732679,0.486071525626732,1422.3997077,1485.1186549000001,0.491241308503,0.5087586914969999,-0.3872400000000003,0.24347139450437394,-2.0,-3.0
118,1979-11-04,IND,CIN,38.0,28.0,1385.6779999999999,1488.884,0.445237705360125,0.5547622946398749,1392.7007962999999,1484.6917380999998,0.445545907614,0.554454092386,1.528239999999996,1.519570149391022,-3.0,-10.0
119,1979-11-04,BUF,NE,6.0,26.0,1455.464,1590.406,0.4006833760692541,0.5993166239307459,1448.82147644,1586.13852922,0.38185673638400003,0.6181432636159999,2.797680000000001,3.3470189490051556,5.0,20.0
120,1979-11-04,CHI,DET,35.0,7.0,1468.8210000000001,1357.27,0.7342530632916597,0.26574693670834026,1470.18912612,1385.66191843,0.705628502544,0.294371497456,-7.062039999999997,-6.074885726220719,-7.0,-28.0
121,1979-11-04,DEN,NO,10.0,3.0,1590.0910000000001,1499.023,0.710620514225713,0.28937948577428696,1583.77551121,1490.91291084,0.753049737404,0.24695026259599995,-6.242719999999999,-7.7474267057299615,-6.0,-7.0
122,1979-11-04,GB,NYJ,22.0,27.0,1414.164,1491.9070000000002,0.4816695676285389,0.5183304323714611,1406.24116933,1488.26087516,0.466574519877,0.5334254801230001,0.5097199999999947,0.9304438232826278,4.0,5.0
