,schedule_date,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,home_favorite,fixed_spread,game_info
2630,11/04/1979,CHI,35.0,7.0,DET,CHI,-7.0,35,1,-7.0,11/04/1979 CHI-DET
2631,11/04/1979,DEN,10.0,3.0,NO,DEN,-6.0,37,1,-6.0,11/04/1979 DEN-NO
2632,11/04/1979,GB,22.0,27.0,NYJ,NYJ,-4.0,39,-1,4.0,11/04/1979 GB-NYJ
2633,11/04/1979,KC,14.0,20.0,LAC,LAC,-6.0,37,-1,6.0,11/04/1979 KC-LAC
2634,11/04/1979,NYG,14.0,16.0,DAL,DAL,-8.0,38,-1,8.0,11/04/1979 NYG-DAL
2635,11/04/1979,OAK,23.0,10.0,SF,OAK,-12.0,44,1,-12.0,11/04/1979 OAK-SF
2636,11/04/1979,PHI,19.0,24.0,CLE,PHI,-3.0,41,1,-3.0,11/04/1979 PHI-CLE
2637,11/04/1979,PIT,38.0,7.0,WAS,PIT,-11.0,37,1,-11.0,11/04/1979 PIT-WAS
2638,11/04/1979,SEA,0.0,24.0,LAR,SEA,-3.0,41,1,-3.0,11/04/1979 SEA-LAR
2639,11/04/1979,ARI,37.0,7.0,MIN,ARI,-5.0,39,1,-5.0,11/04/1979 ARI-MIN
2640,11/05/1979,MIA,6.0,9.0,TEN,MIA,-3.0,39,1,-3.0,11/05/1979 MIA-TEN
2641,11/11/1979,CHI,27.0,23.0,LAR,PICK,0.0,34,-1,-0.0,11/11/1979 CHI-LAR
2642,11/11/1979,CIN,24.0,26.0,LAC,LAC,-4.0,43,-1,4.0,11/11/1979 CIN-LAC
2643,11/11/1979,CLE,24.0,29.0,SEA,CLE,-6.0,43,1,-6.0,11/11/1979 CLE-SEA
2644,11/11/1979,DEN,45.0,10.0,NE,NE,-1.0,34,-1,1.0,11/11/1979 DEN-NE
2645,11/11/1979,DET,14.0,16.0,TB,TB,-5.0,35,-1,5.0,11/11/1979 DET-TB
2646,11/11/1979,GB,19.0,7.0,MIN,GB,-2.0,37,1,-2.0,11/11/1979 GB-MIN
2647,11/11/1979,TEN,31.0,17.0,OAK,TEN,-1.0,40,1,-1.0,11/11/1979 TEN-OAK
2648,11/11/1979,KC,3.0,30.0,PIT,PIT,-10.0,38,-1,10.0,11/11/1979 KC-PIT
2649,11/11/1979,MIA,19.0,0.0,IND,MIA,-6.0,38,1,-6.0,11/11/1979 MIA-IND
2650,11/11/1979,NO,31.0,20.0,SF,NO,-7.0,42,1,-7.0,11/11/1979 NO-SF
2651,11/11/1979,NYG,24.0,3.0,ATL,NYG,-2.0,36,1,-2.0,11/11/1979 NYG-ATL
2652,11/11/1979,NYJ,12.0,14.0,BUF,NYJ,-6.0,42,1,-6.0,11/11/1979 NYJ-BUF
2653,11/11/1979,WAS,30.0,28.0,ARI,WAS,-3.0,39,1,-3.0,11/11/1979 WAS-ARI
2654,11/12/1979,DAL,21.0,31.0,PHI,DAL,-10.0,38,1,-10.0,11/12/1979 DAL-PHI
2655,11/18/1979,BUF,19.0,12.0,GB,BUF,-7.0,37,1,-7.0,11/18/1979 BUF-GB
2656,11/18/1979,CHI,23.0,13.0,NYJ,CHI,-3.0,39,1,-3.0,11/18/1979 CHI-NYJ
2657,11/18/1979,CLE,30.0,24.0,MIA,PICK,0.0,40,-1,-0.0,11/18/1979 CLE-MIA
2658,11/18/1979,TEN,42.0,21.0,CIN,TEN,-8.0,43,1,-8.0,11/18/1979 TEN-CIN
2659,11/18/1979,MIN,14.0,7.0,DET,MIN,-4.0,37,1,-4.0,11/18/1979 MIN-DET
2660,11/18/1979,NE,50.0,21.0,IND,NE,-10.0,40,1,-10.0,11/18/1979 NE-IND
2661,11/18/1979,OAK,21.0,24.0,KC,OAK,-12.0,38,1,-12.0,11/18/1979 OAK-KC
2662,11/18/1979,PHI,16.0,13.0,ARI,PHI,-3.0,39,1,-3.0,11/18/1979 PHI-ARI
2663,11/18/1979,LAC,35.0,7.0,PIT,PIT,-4.0,39,-1,4.0,11/18/1979 LAC-PIT
2664,11/18/1979,SF,28.0,38.0,DEN,DEN,-9.0,39,-1,9.0,11/18/1979 SF-DEN
2665,11/18/1979,SEA,38.0,24.0,NO,SEA,-3.0,42,1,-3.0,11/18/1979 SEA-NO
2666,11/18/1979,TB,31.0,3.0,NYG,TB,-3.0,34,1,-3.0,11/18/1979 TB-NYG
2667,11/18/1979,WAS,34.0,20.0,DAL,DAL,-4.0,37,-1,4.0,11/18/1979 WAS-DAL
2668,11/19/1979,LAR,20.0,14.0,ATL,LAR,-7.0,35,1,-7.0,11/19/1979 LAR-ATL
2669,11/22/1979,DAL,24.0,30.0,TEN,DAL,-1.0,41,1,-1.0,11/22/1979 DAL-TEN
2670,11/22/1979,DET,20.0,0.0,CHI,CHI,-6.0,36,-1,6.0,11/22/1979 DET-CHI
2671,11/25/1979,ATL,6.0,37.0,NO,NO,-2.0,43,-1,2.0,11/25/1979 ATL-NO
